P0,Q0,V0,RHO,T0,RE,ALFA,BETA,CL,CD,CM25,CYAW,CROLL,CY
0.6896797153025034,0.9876543209876587,0.6875000000000568,1.0,0.0,0.9393939393939306,0.0022201078338090485,0.5,0.016696358288105395,0.6945957268537915,1.0,0.0,0.5844594594594595,0.9308823529411765
0.6825622775800753,0.9629629629629619,0.625,1.0,0.02462380300958955,0.9090909090908994,0.033618775769108766,0.5,0.01549488337407301,0.6296606619187265,1.0,0.0,0.6722972972972974,0.9632352941176471
0.6740213523131615,0.8395061728395063,0.31249999999994316,0.9285714285714306,0.05198358413132098,0.8484848484848442,0.06501744370440848,0.5,0.01363052574885032,0.540427314620863,1.0,0.30681818181818193,0.5168918918918919,0.6308823529411764
0.6640569395017906,0.8888888888888857,0.5625000000000568,0.9285714285714306,0.06566347469220091,0.8787878787878682,0.09831906121154457,0.5,0.029871152173012394,0.4444909928780897,1.0,0.14772727272727282,0.6925675675675677,0.8191176470588235
0.6583629893238481,0.8641975308642031,0.43749999999994316,0.9285714285714306,0.07387140902874023,0.8484848484848442,0.1313035204567079,0.5,0.06127522061565231,0.3586091328026812,1.0,0.37500000000000006,0.5236486486486487,0.5985294117647059
0.6469750889679915,0.9382716049382793,0.7500000000001137,0.9285714285714306,0.08207934336525113,0.8787878787878682,0.16397082143989852,0.5,0.08323321042383061,0.24842899036447424,1.0,0.2613636363636364,0.543918918918919,0.6573529411764706
0.641281138790049,0.8395061728395063,0.43749999999994316,0.9285714285714306,0.09028727770179046,0.8181818181818059,0.1975895972090073,0.5,0.12006463106434104,0.20025136154168416,1.0,0.3295454545454546,0.5371621621621622,0.6691176470588236
0.6384341637010778,0.790123456790127,0.31249999999994316,0.8571428571428612,0.10943912448701099,0.7878787878787818,0.265778623533143,0.5,0.20429216555495708,0.1763720150816925,0.9863659531090724,0.3295454545454546,0.5236486486486487,0.6661764705882354
0.6327402135231353,0.8148148148148096,0.5,0.8571428571428612,0.1258549931600612,0.7878787878787818,0.3339676498572788,0.5,0.2917926834320752,0.17469627147046504,0.8520642201834863,0.3295454545454546,0.5304054054054055,0.6397058823529412
0.6313167259786496,0.7654320987654302,0.375,0.8571428571428612,0.13953488372094114,0.7575757575757507,0.4018395179194418,0.5,0.37747027385342,0.19145370758273986,0.7394240570846076,0.3522727272727273,0.5168918918918919,0.6573529411764706
0.629893238434164,0.7654320987654302,0.375,0.8571428571428612,0.15047879616963655,0.7575757575757507,0.4697113859816048,0.5,0.4625264117330239,0.22454964390448265,0.6181192660550459,0.44318181818181823,0.5033783783783784,0.6014705882352942
0.6270462633451928,0.7654320987654302,0.5,0.7857142857142776,0.17236662106702738,0.7575757575757507,0.5382175705677132,0.5,0.548866884865559,0.2769166317553415,0.4504332313965341,0.5340909090909092,0.4898648648648649,0.5514705882352942
0.6256227758007071,0.790123456790127,0.5625000000000568,0.7857142857142776,0.1860465116279073,0.7575757575757507,0.6057722803679035,0.5,0.6342958942702074,0.3485546711353163,0.25649847094801215,0.5795454545454546,0.47635135135135137,0.5132352941176471
0.6241992882562215,0.7160493827160508,0.375,0.7857142857142776,0.19151846785226212,0.7272727272727195,0.6403425309229305,0.5,0.675891784397398,0.39086719731881026,0.14385830784913345,0.6022727272727273,0.4425675675675676,0.5014705882352941
0.6213523131672787,0.7407407407407476,0.5,0.7857142857142776,0.19972640218878723,0.7272727272727195,0.6733269901680938,0.5,0.7149604341881757,0.4348554671135317,0.02433741080530072,0.6022727272727273,0.43581081081081086,0.48382352941176476
0.6227758007117643,0.7654320987654302,0.5625000000000568,0.7857142857142776,0.20793433652531235,0.7272727272727195,0.707580082461148,0.5,0.7544848158428966,0.48345203183912866,0.0,0.6022727272727273,0.4290540540540541,0.46617647058823536
0.6213523131672787,0.7160493827160508,0.43749999999994316,0.7857142857142776,0.21887824897400776,0.6969696969696884,0.7411988582302569,0.5,0.7916476778390023,0.5370758273984081,0.0,0.6022727272727273,0.4290540540540541,0.4485294117647059
0.6227758007117643,0.691358024691354,0.375,0.7857142857142776,0.22708618331054709,0.6666666666666643,0.7751347922613384,0.5,0.8262418693292454,0.5936321742773357,0.0,0.6022727272727273,0.4087837837837838,0.44264705882352945
0.6241992882562215,0.691358024691354,0.43749999999994316,0.7857142857142776,0.2325581395348877,0.6666666666666643,0.8093878845543927,0.5,0.8574387869246383,0.6573104315039799,0.0,0.6022727272727273,0.4087837837837838,0.41029411764705886
0.6256227758007071,0.6666666666666714,0.31249999999994316,0.7857142857142776,0.2380300957592283,0.6666666666666643,0.8404693942277195,0.5,0.8817997265608815,0.7369082530372854,0.0,0.30681818181818193,0.375,0.34264705882352947
0.6327402135231353,0.6666666666666714,0.31249999999994316,0.7142857142857224,0.2435020519835973,0.6666666666666643,0.8740881699968284,0.5,0.9012304760326468,0.8479262672811061,0.0,0.12500000000000006,0.3006756756756757,0.2808823529411765
0.6427046263345346,0.6419753086419746,0.24999999999994316,0.7142857142857224,0.2517099863201082,0.636363636363626,0.9042182048842373,0.5,0.8764138045324603,0.9463762044407207,0.0,0.625,0.41554054054054057,0.3279411764705883
0.6526690391459056,0.5432098765432158,0.0,0.7142857142857224,0.25991792065664754,0.606060606060602,0.9368855058674277,0.5,0.8719807764013753,1.0000000000000002,0.0,0.7159090909090909,0.24662162162162163,0.3044117647058824
0.6612099644128193,0.5925925925925952,0.18749999999994316,0.7142857142857224,0.26538987688098814,0.636363636363626,0.9676498572787822,0.5,0.864896217425529,1.0000000000000002,0.0,0.7613636363636365,0.016891891891891886,0.3661764705882353
0.990035587188629,0.7407407407407476,0.5,0.7857142857142776,0.40218878248974477,0.636363636363626,0.0015857913098636378,0.5,0.01458341964618634,0.7172182656053625,1.0,0.39772727272727276,0.2533783783783784,0.42500000000000004
0.9871886120996578,0.7407407407407476,0.5,0.7857142857142776,0.4322845417236749,0.606060606060602,0.03330161750713606,0.5,0.009446078634461619,0.6564725596983662,1.0,0.3522727272727273,0.34121621621621623,0.5485294117647059
0.9786476868327441,0.7160493827160508,0.5625000000000568,0.7142857142857224,0.45690834473323605,0.5757575757575708,0.06501744370440848,0.5,0.007581721009238929,0.5684960201089234,1.0,0.7840909090909092,0.15878378378378377,0.32500000000000007
0.9729537366548016,0.7407407407407476,0.625,0.7142857142857224,0.470588235294116,0.5757575757575708,0.09736758642562637,0.5,0.01781497286323902,0.4595726853791371,1.0,0.17045454545454553,0.5912162162162162,0.6838235294117647
0.9629893238434306,0.6419753086419746,0.43749999999994316,0.7142857142857224,0.4842681258549959,0.5454545454545396,0.130034887408817,0.5,0.04507602436093962,0.369082530372853,1.0,0.12500000000000006,0.570945945945946,0.6602941176470588
0.9516014234875456,0.6666666666666714,0.5,0.7142857142857224,0.492476060191521,0.5454545454545396,0.16333650491595306,0.5,0.0708041595890127,0.2576455802262254,1.0,0.0,0.5844594594594595,0.7279411764705883
